frame,ID,x,y
2,605,446,1
3,597,428,1
4,442,347,1
5,119,325,1
6,579,329,1
7,326,277,1
8,198,245,1
9,496,228,1
10,87,218,1
11,592,236,1
12,482,215,1
13,435,210,1
14,384,178,1
15,56,173,1
16,402,170,1
17,192,141,1
18,86,113,1
19,187,110,1
20,370,76,1
21,40,66,1
22,427,52,1
23,548,51,1
24,623,29,1
25,445,28,1
0,584,463,1
1,606,446,1
2,597,428,1
3,444,344,1
4,109,340,1
5,121,323,1
6,579,329,1
7,326,281,1
8,201,252,1
9,498,231,1
10,592,237,1
11,484,218,1
12,86,217,1
13,436,207,1
14,380,183,1
15,51,171,1
16,402,170,1
17,189,142,1
18,86,114,1
19,190,107,1
20,370,75,1
21,39,69,1
22,424,51,1
23,548,51,1
24,449,29,1
0,584,463,1
1,605,446,1
2,597,428,1
3,464,372,1
4,448,340,1
5,579,329,1
6,126,320,1
7,326,286,1
8,204,257,1
9,499,234,1
10,592,237,1
11,484,219,1
12,84,216,1
13,437,202,1
14,377,188,1
15,46,170,1
16,399,172,1
17,182,144,1
18,87,116,1
19,192,103,1
20,370,75,1
21,37,72,1
22,548,52,1
23,424,51,1
24,83,42,1
25,453,31,1
26,623,29,1
0,584,463,1
1,605,446,1
2,597,428,1
3,465,371,1
4,117,337,1
5,453,336,1
6,579,328,1
7,129,317,1
8,326,290,1
9,205,262,1
10,500,237,1
11,485,222,1
12,592,237,1
13,83,212,1
14,438,199,1
15,375,192,1
16,399,173,1
17,41,169,1
18,177,145,1
19,88,117,1
20,196,100,1
21,370,75,1
22,35,75,1
23,548,51,1
24,423,50,1
25,459,32,1
26,622,29,1
0,584,463,1
1,606,446,1
2,597,428,1
3,464,372,1
4,121,341,1
5,456,333,1
6,579,330,1
7,132,314,1
8,326,293,1
9,209,269,1
10,502,242,1
11,486,225,1
12,592,236,1
13,82,211,1
14,371,197,1
15,440,195,1
16,398,173,1
17,35,167,1
18,172,146,1
19,88,119,1
20,198,97,1
21,370,75,1
